TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2024EP,01-003-026,MEMO,4
Listas,2024EP,01-003-027,MEMO,0
Listas,2024EP,01-003-028,MEMO,2
Listas,2024EP,01-003-029,MEMO,2
Listas,2024EP,01-003-030,MEMO,1
Listas,2024EP,01-003-031,MEMO,2
Listas,2024EP,01-003-032,MEMO,6
Listas,2024EP,01-003-033,MEMO,5
Listas,2024EP,01-003-034,MEMO,3
Listas,2024EP,01-003-035,MEMO,1
Listas,2024EP,01-003-036,MEMO,0
Listas,2024EP,01-003-037,MEMO,3
Listas,2024EP,01-003-038,MEMO,1
Listas,2024EP,01-003-039,MEMO,2
Listas,2024EP,01-003-040,MEMO,3
Listas,2024EP,01-003-041,MEMO,1
Listas,2024EP,01-003-042,MEMO,0
Listas,2024EP,01-003-043,MEMO,1
Listas,2024EP,01-003-044,MEMO,3
Listas,2024EP,01-003-045,MEMO,2
Listas,2024EP,01-003-046,MEMO,1
Listas,2024EP,01-003-047,MEMO,0
Listas,2024EP,01-003-048,MEMO,3
Listas,2024EP,01-003-049,MEMO,0
Listas,2024EP,01-003-050,MEMO,2
Listas,2024EP,01-003-051,MEMO,2
Listas,2024EP,01-003-052,MEMO,3
Listas,2024EP,01-003-053,MEMO,1
Listas,2024EP,01-003-054,MEMO,1
Listas,2024EP,01-003-055,MEMO,0
Listas,2024EP,01-003-056,MEMO,2
Listas,2024EP,01-003-057,MEMO,0
Listas,2024EP,01-003-058,MEMO,3
Listas,2024EP,01-003-059,MEMO,6
Listas,2024EP,01-003-060,MEMO,2
Listas,2024EP,01-003-061,MEMO,2
Listas,2024EP,01-003-062,MEMO,4
Listas,2024EP,01-003-063,MEMO,3
Listas,2024EP,01-003-064,MEMO,0
Listas,2024EP,01-003-065,MEMO,4
Listas,2024EP,01-003-066,MEMO,2
Listas,2024EP,01-003-067,MEMO,3
Listas,2024EP,01-003-068,MEMO,1
Listas,2024EP,01-003-069,MEMO,1
Listas,2024EP,01-003-070,MEMO,5
Listas,2024EP,01-003-071,MEMO,2
Listas,2024EP,01-003-072,MEMO,2
Listas,2024EP,01-003-073,MEMO,2
Listas,2024EP,01-003-074,MEMO,3
Listas,2024EP,01-003-075,MEMO,3
Listas,2024EP,01-003-076,MEMO,0
Listas,2024EP,01-003-077,MEMO,0
Listas,2024EP,01-003-078,MEMO,4
Listas,2024EP,01-003-079,MEMO,1
Listas,2024EP,01-003-080,MEMO,3
Listas,2024EP,01-003-081,MEMO,5
Listas,2024EP,01-003-082,MEMO,4
Listas,2024EP,01-003-083,MEMO,4
Listas,2024EP,01-003-084,MEMO,3
Listas,2024EP,01-003-085,MEMO,1
Listas,2024EP,01-003-086,MEMO,2
Listas,2024EP,01-003-087,MEMO,2
Listas,2024EP,01-003-088,MEMO,1
Listas,2024EP,01-003-089,MEMO,5
Listas,2024EP,01-003-090,MEMO,5
Listas,2024EP,01-003-091,MEMO,3
Listas,2024EP,01-003-092,MEMO,3
Listas,2024EP,01-003-093,MEMO,4
Listas,2024EP,01-003-094,MEMO,4
Listas,2024EP,01-003-095,MEMO,1
Listas,2024EP,01-003-096,MEMO,4
Listas,2024EP,01-003-097,MEMO,3
Listas,2024EP,01-003-098,MEMO,1
Listas,2024EP,01-003-099,MEMO,2
Listas,2024EP,01-003-100,MEMO,2
Listas,2024EP,01-003-101,MEMO,3
Listas,2024EP,01-003-102,MEMO,0
Listas,2024EP,01-003-103,MEMO,1
Listas,2024EP,01-003-104,MEMO,4
Listas,2024EP,01-003-105,MEMO,1
Listas,2024EP,01-003-106,MEMO,0
Listas,2024EP,01-003-107,MEMO,3
Listas,2024EP,01-003-108,MEMO,2
Listas,2024EP,01-003-109,MEMO,0
Listas,2024EP,01-003-110,MEMO,6
Listas,2024EP,01-003-111,MEMO,1
Listas,2024EP,01-003-112,MEMO,4
Listas,2024EP,01-003-200,MEMO,0
Listas,2024EP,01-004-001,MEMO,1
Listas,2024EP,01-004-002,MEMO,0
Listas,2024EP,01-004-003,MEMO,1
Listas,2024EP,01-004-004,MEMO,4
Listas,2024EP,01-004-005,MEMO,4
Listas,2024EP,01-004-006,MEMO,2
Listas,2024EP,01-004-007,MEMO,2
Listas,2024EP,01-004-008,MEMO,1
Listas,2024EP,01-004-009,MEMO,5
Listas,2024EP,01-004-010,MEMO,0
Listas,2024EP,01-004-011,MEMO,2
Listas,2024EP,01-004-012,MEMO,2
Listas,2024EP,01-004-013,MEMO,3
Listas,2024EP,01-004-014,MEMO,1
Listas,2024EP,01-004-015,MEMO,3
Listas,2024EP,01-004-016,MEMO,3
Listas,2024EP,01-004-017,MEMO,2
Listas,2024EP,01-004-018,MEMO,4
Listas,2024EP,01-004-019,MEMO,0
Listas,2024EP,01-004-020,MEMO,6
Listas,2024EP,01-004-021,MEMO,3
Listas,2024EP,01-004-022,MEMO,5
Listas,2024EP,01-004-023,MEMO,2
Listas,2024EP,01-004-024,MEMO,1
Listas,2024EP,01-004-025,MEMO,0
Listas,2024EP,01-004-026,MEMO,2
Listas,2024EP,01-004-027,MEMO,3
Listas,2024EP,01-004-028,MEMO,6
Listas,2024EP,01-004-029,MEMO,3
Listas,2024EP,01-004-030,MEMO,1
Listas,2024EP,01-004-031,MEMO,4
Listas,2024EP,01-004-032,MEMO,1
Listas,2024EP,01-004-033,MEMO,2
Listas,2024EP,01-004-034,MEMO,1
Listas,2024EP,01-004-035,MEMO,1
Listas,2024EP,01-004-036,MEMO,5
Listas,2024EP,01-004-037,MEMO,9
Listas,2024EP,01-004-038,MEMO,2
Listas,2024EP,01-004-039,MEMO,4
Listas,2024EP,01-004-040,MEMO,2
Listas,2024EP,01-004-041,MEMO,2
Listas,2024EP,01-004-042,MEMO,3
Listas,2024EP,01-004-043,MEMO,0
Listas,2024EP,01-004-044,MEMO,1
Listas,2024EP,01-004-045,MEMO,2
Listas,2024EP,01-004-046,MEMO,5
Listas,2024EP,01-004-047,MEMO,4
Listas,2024EP,01-004-048,MEMO,3
Listas,2024EP,01-004-049,MEMO,6
Listas,2024EP,01-004-050,MEMO,1
Listas,2024EP,01-004-051,MEMO,4
Listas,2024EP,01-004-052,MEMO,4
Listas,2024EP,01-004-053,MEMO,1
Listas,2024EP,01-004-054,MEMO,4
Listas,2024EP,01-004-055,MEMO,6
Listas,2024EP,01-004-056,MEMO,3
Listas,2024EP,01-004-057,MEMO,2
Listas,2024EP,01-004-058,MEMO,3
Listas,2024EP,01-004-059,MEMO,2
Listas,2024EP,01-004-060,MEMO,2
Listas,2024EP,01-004-061,MEMO,1
Listas,2024EP,01-004-062,MEMO,2
Listas,2024EP,01-004-063,MEMO,2
Listas,2024EP,01-004-064,MEMO,4
Listas,2024EP,01-004-065,MEMO,1
Listas,2024EP,01-004-066,MEMO,0
Listas,2024EP,01-004-067,MEMO,3
Listas,2024EP,01-004-068,MEMO,2
Listas,2024EP,01-004-069,MEMO,2
Listas,2024EP,01-004-070,MEMO,2
Listas,2024EP,01-004-080,MEMO,1
Listas,2024EP,01-005-001,MEMO,0
Listas,2024EP,01-005-002,MEMO,2
Listas,2024EP,01-005-003,MEMO,1
Listas,2024EP,01-005-004,MEMO,1
Listas,2024EP,01-005-005,MEMO,1
Listas,2024EP,01-005-006,MEMO,0
Listas,2024EP,01-005-007,MEMO,0
Listas,2024EP,01-005-008,MEMO,1
Listas,2024EP,01-005-009,MEMO,1
Listas,2024EP,01-005-010,MEMO,1
Listas,2024EP,01-005-011,MEMO,2
Listas,2024EP,01-005-012,MEMO,0
Listas,2024EP,01-005-013,MEMO,0
Listas,2024EP,01-005-014,MEMO,0
Listas,2024EP,01-005-015,MEMO,3
Listas,2024EP,01-005-016,MEMO,1
Listas,2024EP,01-005-017,MEMO,0
Listas,2024EP,01-006-001,MEMO,0
Listas,2024EP,01-006-002,MEMO,1
Listas,2024EP,01-006-003,MEMO,0
Listas,2024EP,01-006-004,MEMO,3
Listas,2024EP,01-006-005,MEMO,1
Listas,2024EP,01-006-006,MEMO,4
Listas,2024EP,01-006-007,MEMO,0
Listas,2024EP,01-006-008,MEMO,0
Listas,2024EP,01-006-009,MEMO,1
Listas,2024EP,01-006-010,MEMO,1
Listas,2024EP,01-006-011,MEMO,0
Listas,2024EP,01-006-012,MEMO,1
Listas,2024EP,01-006-013,MEMO,0
Listas,2024EP,01-006-014,MEMO,1
Listas,2024EP,01-006-015,MEMO,0
Listas,2024EP,01-006-016,MEMO,2
Listas,2024EP,01-006-017,MEMO,1
Listas,2024EP,01-006-018,MEMO,2
Listas,2024EP,01-006-019,MEMO,0
Listas,2024EP,01-006-020,MEMO,0
Listas,2024EP,01-006-021,MEMO,2
Listas,2024EP,01-006-022,MEMO,1
Listas,2024EP,01-006-023,MEMO,2
Listas,2024EP,01-006-024,MEMO,0
Listas,2024EP,01-006-025,MEMO,3
Listas,2024EP,01-006-026,MEMO,4
Listas,2024EP,01-006-027,MEMO,0
Listas,2024EP,01-006-028,MEMO,1
Listas,2024EP,01-006-029,MEMO,5
Listas,2024EP,01-006-030,MEMO,1
Listas,2024EP,01-007-001,MEMO,1
Listas,2024EP,01-007-002,MEMO,1
Listas,2024EP,01-007-003,MEMO,0
Listas,2024EP,01-007-004,MEMO,0
Listas,2024EP,01-007-005,MEMO,1
Listas,2024EP,01-007-006,MEMO,2
Listas,2024EP,01-007-007,MEMO,6
Listas,2024EP,01-007-008,MEMO,2
Listas,2024EP,01-007-009,MEMO,0
Listas,2024EP,01-007-010,MEMO,1
Listas,2024EP,01-007-011,MEMO,1
Listas,2024EP,01-007-012,MEMO,2
Listas,2024EP,01-007-013,MEMO,3
Listas,2024EP,01-007-014,MEMO,1
Listas,2024EP,01-007-015,MEMO,1
Listas,2024EP,01-007-016,MEMO,0
Listas,2024EP,01-007-017,MEMO,1
Listas,2024EP,01-007-018,MEMO,3
Listas,2024EP,01-007-019,MEMO,0
Listas,2024EP,01-007-020,MEMO,1
Listas,2024EP,01-007-021,MEMO,0
Listas,2024EP,01-007-022,MEMO,4
Listas,2024EP,01-007-023,MEMO,6
Listas,2024EP,01-007-024,MEMO,4
Listas,2024EP,01-007-025,MEMO,0
Listas,2024EP,01-007-026,MEMO,3
Listas,2024EP,01-007-027,MEMO,3
Listas,2024EP,01-007-028,MEMO,0
Listas,2024EP,01-007-029,MEMO,0
Listas,2024EP,01-007-030,MEMO,3
Listas,2024EP,01-007-031,MEMO,4
Listas,2024EP,01-007-032,MEMO,3
Listas,2024EP,01-007-033,MEMO,2
Listas,2024EP,01-007-034,MEMO,2
Listas,2024EP,01-007-035,MEMO,2
Listas,2024EP,01-007-036,MEMO,1
Listas,2024EP,01-007-037,MEMO,3
Listas,2024EP,01-007-038,MEMO,4
Listas,2024EP,01-007-039,MEMO,0
Listas,2024EP,01-008-001,MEMO,0
Listas,2024EP,01-008-002,MEMO,3
Listas,2024EP,01-008-003,MEMO,0
Listas,2024EP,01-008-004,MEMO,0
Listas,2024EP,01-008-005,MEMO,1
Listas,2024EP,01-008-006,MEMO,1
Listas,2024EP,01-008-007,MEMO,1
Listas,2024EP,01-008-008,MEMO,1
Listas,2024EP,01-008-009,MEMO,0
Listas,2024EP,01-008-010,MEMO,2
Listas,2024EP,01-008-011,MEMO,2
Listas,2024EP,01-008-012,MEMO,0
Listas,2024EP,01-008-013,MEMO,3
Listas,2024EP,01-008-014,MEMO,0
Listas,2024EP,01-008-015,MEMO,1
Listas,2024EP,01-008-016,MEMO,1
Listas,2024EP,01-008-017,MEMO,0
Listas,2024EP,01-008-018,MEMO,1
Listas,2024EP,01-008-019,MEMO,3
Listas,2024EP,01-008-020,MEMO,3
Listas,2024EP,01-008-021,MEMO,2
Listas,2024EP,01-008-022,MEMO,1
Listas,2024EP,01-008-023,MEMO,0
Listas,2024EP,01-008-024,MEMO,0
Listas,2024EP,01-008-025,MEMO,0
Listas,2024EP,01-008-026,MEMO,0
Listas,2024EP,01-008-027,MEMO,0
Listas,2024EP,01-008-028,MEMO,4
Listas,2024EP,01-008-029,MEMO,0
Listas,2024EP,01-008-030,MEMO,2
Listas,2024EP,01-008-031,MEMO,1
Listas,2024EP,01-008-032,MEMO,0
Listas,2024EP,01-008-033,MEMO,1
Listas,2024EP,01-008-034,MEMO,2
Listas,2024EP,01-008-035,MEMO,1
Listas,2024EP,01-008-036,MEMO,0
Listas,2024EP,01-008-037,MEMO,2
Listas,2024EP,01-008-038,MEMO,2
Listas,2024EP,01-008-039,MEMO,0
Listas,2024EP,01-008-040,MEMO,2
Listas,2024EP,01-008-041,MEMO,1
Listas,2024EP,01-008-042,MEMO,3
Listas,2024EP,01-008-043,MEMO,2
Listas,2024EP,01-008-044,MEMO,0
Listas,2024EP,01-008-045,MEMO,2
Listas,2024EP,01-008-046,MEMO,1
Listas,2024EP,01-008-047,MEMO,0
Listas,2024EP,01-008-048,MEMO,1
Listas,2024EP,01-008-049,MEMO,2
Listas,2024EP,01-008-050,MEMO,6
Listas,2024EP,01-008-051,MEMO,0
Listas,2024EP,01-009-001,MEMO,3
Listas,2024EP,01-009-002,MEMO,1
Listas,2024EP,01-009-003,MEMO,1
Listas,2024EP,01-009-004,MEMO,0
Listas,2024EP,01-009-005,MEMO,2
Listas,2024EP,01-009-006,MEMO,1
Listas,2024EP,01-009-007,MEMO,0
Listas,2024EP,01-009-008,MEMO,1
Listas,2024EP,01-009-009,MEMO,1
Listas,2024EP,01-009-010,MEMO,2
Listas,2024EP,01-009-011,MEMO,3
Listas,2024EP,01-009-012,MEMO,0
Listas,2024EP,01-009-013,MEMO,1
Listas,2024EP,01-009-014,MEMO,1
Listas,2024EP,01-009-015,MEMO,2
Listas,2024EP,01-009-016,MEMO,2
Listas,2024EP,01-009-017,MEMO,1
Listas,2024EP,01-009-018,MEMO,2
Listas,2024EP,01-009-019,MEMO,1
Listas,2024EP,01-009-020,MEMO,3
Listas,2024EP,01-009-021,MEMO,1
Listas,2024EP,01-009-022,MEMO,0
Listas,2024EP,01-009-023,MEMO,0
Listas,2024EP,01-009-024,MEMO,0
Listas,2024EP,01-009-025,MEMO,0
Listas,2024EP,01-009-026,MEMO,1
Listas,2024EP,01-009-027,MEMO,0
Listas,2024EP,01-009-028,MEMO,1
Listas,2024EP,01-009-029,MEMO,0
Listas,2024EP,01-009-030,MEMO,0
Listas,2024EP,01-009-031,MEMO,4
Listas,2024EP,01-009-032,MEMO,2
Listas,2024EP,01-009-033,MEMO,1
Listas,2024EP,01-009-034,MEMO,2
Listas,2024EP,01-009-035,MEMO,0
Listas,2024EP,01-009-036,MEMO,2
Listas,2024EP,01-009-037,MEMO,1
Listas,2024EP,01-009-038,MEMO,2
Listas,2024EP,01-009-039,MEMO,1
Listas,2024EP,01-009-040,MEMO,0
Listas,2024EP,01-009-041,MEMO,0
Listas,2024EP,01-009-042,MEMO,1
Listas,2024EP,01-009-043,MEMO,2
Listas,2024EP,01-009-044,MEMO,2
Listas,2024EP,01-009-045,MEMO,1
Listas,2024EP,01-009-046,MEMO,0
Listas,2024EP,01-009-047,MEMO,1
Listas,2024EP,01-009-048,MEMO,3
Listas,2024EP,01-009-049,MEMO,2
Listas,2024EP,01-009-050,MEMO,2
Listas,2024EP,01-010-001,MEMO,2
Listas,2024EP,01-010-002,MEMO,0
Listas,2024EP,01-010-003,MEMO,3
Listas,2024EP,01-010-004,MEMO,0
Listas,2024EP,01-010-005,MEMO,0
Listas,2024EP,01-010-006,MEMO,0
Listas,2024EP,01-010-007,MEMO,2
Listas,2024EP,01-010-008,MEMO,5
Listas,2024EP,01-010-009,MEMO,0
Listas,2024EP,01-010-010,MEMO,0
Listas,2024EP,01-010-011,MEMO,2
Listas,2024EP,01-010-012,MEMO,1
Listas,2024EP,01-010-013,MEMO,1
Listas,2024EP,01-010-014,MEMO,2
Listas,2024EP,01-010-015,MEMO,1
Listas,2024EP,01-010-016,MEMO,0
Listas,2024EP,01-010-017,MEMO,2
Listas,2024EP,01-010-018,MEMO,2
Listas,2024EP,01-010-019,MEMO,3
Listas,2024EP,01-010-020,MEMO,2
Listas,2024EP,01-010-021,MEMO,0
Listas,2024EP,01-010-022,MEMO,2
Listas,2024EP,01-010-023,MEMO,0
Listas,2024EP,01-010-024,MEMO,1
Listas,2024EP,01-010-025,MEMO,0
Listas,2024EP,01-010-026,MEMO,2
Listas,2024EP,01-010-027,MEMO,1
Listas,2024EP,01-010-028,MEMO,1
Listas,2024EP,01-010-029,MEMO,2
Listas,2024EP,01-010-030,MEMO,1
Listas,2024EP,01-010-031,MEMO,2
Listas,2024EP,01-010-032,MEMO,3
Listas,2024EP,01-010-033,MEMO,3
Listas,2024EP,01-010-034,MEMO,1
Listas,2024EP,01-010-035,MEMO,0
Listas,2024EP,01-010-036,MEMO,1
Listas,2024EP,01-010-037,MEMO,0
Listas,2024EP,01-010-038,MEMO,1
Listas,2024EP,01-010-039,MEMO,0
Listas,2024EP,01-010-040,MEMO,1
Listas,2024EP,01-010-041,MEMO,1
Listas,2024EP,01-010-042,MEMO,0
Listas,2024EP,01-010-043,MEMO,1
Listas,2024EP,01-010-044,MEMO,0
Listas,2024EP,01-010-045,MEMO,1
Listas,2024EP,01-010-046,MEMO,0
Listas,2024EP,01-010-047,MEMO,3
Listas,2024EP,01-010-048,MEMO,0
Listas,2024EP,01-010-049,MEMO,2
Listas,2024EP,01-010-050,MEMO,2
Listas,2024EP,01-010-051,MEMO,1
Listas,2024EP,01-010-052,MEMO,0
Listas,2024EP,01-010-053,MEMO,1
Listas,2024EP,01-010-054,MEMO,0
Listas,2024EP,01-010-055,MEMO,0
Listas,2024EP,01-010-056,MEMO,1
Listas,2024EP,01-010-057,MEMO,5
Listas,2024EP,01-010-058,MEMO,1
Listas,2024EP,01-010-059,MEMO,4
Listas,2024EP,01-010-060,MEMO,2
Listas,2024EP,01-010-061,MEMO,3
Listas,2024EP,01-010-062,MEMO,0
Listas,2024EP,01-010-063,MEMO,4
Listas,2024EP,01-010-064,MEMO,1
Listas,2024EP,01-010-065,MEMO,4
Listas,2024EP,01-010-066,MEMO,1
Listas,2024EP,01-010-067,MEMO,2
Listas,2024EP,01-010-068,MEMO,4
Listas,2024EP,01-010-069,MEMO,3
Listas,2024EP,01-011-001,MEMO,2
Listas,2024EP,01-011-002,MEMO,3
Listas,2024EP,01-011-003,MEMO,6
Listas,2024EP,01-011-004,MEMO,1
Listas,2024EP,01-011-005,MEMO,2
Listas,2024EP,01-011-006,MEMO,0
Listas,2024EP,01-011-007,MEMO,1
Listas,2024EP,01-011-008,MEMO,1
Listas,2024EP,01-011-009,MEMO,2
Listas,2024EP,01-011-010,MEMO,2
Listas,2024EP,01-011-011,MEMO,2
Listas,2024EP,01-011-012,MEMO,0
Listas,2024EP,01-011-013,MEMO,2
Listas,2024EP,01-011-014,MEMO,1
Listas,2024EP,01-011-015,MEMO,0
Listas,2024EP,01-011-016,MEMO,3
Listas,2024EP,01-011-017,MEMO,1
Listas,2024EP,01-011-018,MEMO,4
Listas,2024EP,01-011-019,MEMO,4
Listas,2024EP,01-011-020,MEMO,2
Listas,2024EP,01-011-021,MEMO,1
Listas,2024EP,01-011-022,MEMO,1
Listas,2024EP,01-011-023,MEMO,0
Listas,2024EP,01-011-024,MEMO,0
Listas,2024EP,01-011-025,MEMO,3
Listas,2024EP,01-011-026,MEMO,1
Listas,2024EP,01-011-027,MEMO,6
Listas,2024EP,01-011-028,MEMO,0
Listas,2024EP,01-011-029,MEMO,0
Listas,2024EP,01-011-030,MEMO,2
Listas,2024EP,01-011-031,MEMO,1
Listas,2024EP,01-011-032,MEMO,2
Listas,2024EP,01-011-033,MEMO,3
Listas,2024EP,01-011-034,MEMO,2
Listas,2024EP,01-011-035,MEMO,3
Listas,2024EP,01-011-036,MEMO,3
Listas,2024EP,01-011-037,MEMO,1
Listas,2024EP,01-011-038,MEMO,0
Listas,2024EP,01-011-039,MEMO,1
Listas,2024EP,01-011-040,MEMO,0
Listas,2024EP,01-011-041,MEMO,3
Listas,2024EP,01-011-042,MEMO,1
Listas,2024EP,01-011-043,MEMO,1
Listas,2024EP,01-011-044,MEMO,1
Listas,2024EP,01-011-045,MEMO,1
Listas,2024EP,01-011-046,MEMO,1
Listas,2024EP,01-011-047,MEMO,1
Listas,2024EP,01-011-048,MEMO,2
Listas,2024EP,01-011-049,MEMO,0
Listas,2024EP,01-011-050,MEMO,5
Listas,2024EP,01-011-051,MEMO,3
Listas,2024EP,01-011-052,MEMO,3
Listas,2024EP,01-011-053,MEMO,5
Listas,2024EP,01-011-054,MEMO,4
Listas,2024EP,01-011-055,MEMO,1
Listas,2024EP,01-011-056,MEMO,1
Listas,2024EP,01-011-057,MEMO,1
Listas,2024EP,01-011-058,MEMO,4
Listas,2024EP,01-011-059,MEMO,1
Listas,2024EP,01-011-060,MEMO,1
Listas,2024EP,01-011-061,MEMO,3
Listas,2024EP,01-011-062,MEMO,2
Listas,2024EP,01-011-063,MEMO,1
Listas,2024EP,01-011-064,MEMO,1
Listas,2024EP,01-011-065,MEMO,2
Listas,2024EP,01-011-066,MEMO,5
Listas,2024EP,01-011-067,MEMO,3
Listas,2024EP,01-011-068,MEMO,3
Listas,2024EP,01-011-069,MEMO,1
Listas,2024EP,01-011-070,MEMO,2
Listas,2024EP,01-011-071,MEMO,2
Listas,2024EP,01-011-072,MEMO,1
Listas,2024EP,01-011-073,MEMO,6
Listas,2024EP,01-011-074,MEMO,5
Listas,2024EP,01-011-075,MEMO,1
Listas,2024EP,01-011-076,MEMO,1
Listas,2024EP,01-011-077,MEMO,3
Listas,2024EP,01-011-078,MEMO,1
Listas,2024EP,01-011-079,MEMO,5
Listas,2024EP,01-011-080,MEMO,4
Listas,2024EP,01-011-081,MEMO,1
Listas,2024EP,01-011-082,MEMO,2
Listas,2024EP,01-011-083,MEMO,3
Listas,2024EP,01-011-084,MEMO,2
Listas,2024EP,01-011-085,MEMO,2
Listas,2024EP,01-011-086,MEMO,7
Listas,2024EP,01-011-087,MEMO,2
Listas,2024EP,01-011-088,MEMO,4
Listas,2024EP,01-011-089,MEMO,3
Listas,2024EP,01-011-090,MEMO,4
Listas,2024EP,01-011-091,MEMO,4
Listas,2024EP,01-011-092,MEMO,4
Listas,2024EP,01-011-093,MEMO,6
Listas,2024EP,01-011-094,MEMO,0
Listas,2024EP,01-011-095,MEMO,0
Listas,2024EP,01-011-096,MEMO,1
Listas,2024EP,01-011-097,MEMO,0
Listas,2024EP,01-011-098,MEMO,0
Listas,2024EP,01-011-099,MEMO,2
Listas,2024EP,01-011-100,MEMO,1
Listas,2024EP,01-011-101,MEMO,0
